laptop_id,full_name_with_specs,link_profile,full_name,producer,model,cpu,cpu_mark,gpu,disc,ram,ram_tech,display_size,display_resolution,display_hz,display_tech,weight,hdmi_version,wifi_version,bluetooth_version,webcam_resolution,microphone_count,publishing_date,price_in_dollar,review_link,amazon_link,dimensions,ethernet,fingerprint_reader,service_rank,service_level
12,Acer Nitro 7 (AN715-51)ProcessorIntel Core i7-9750HInternal memory8GB RAMVideo cardNVIDIA GeForce GTX 1050 (3GB GDDR5)DisplaySolid-state drive256GB SSD,https://laptopmedia.com/laptop-specs/acer-nitro-7-an715-51-102/,Acer Nitro 7 (AN715-51),Acer,Nitro7(AN715-51),Intel Core i7-9750H,10948,NVIDIA GeForce GTX 1050 (3GB GDDR5),256GB SSD,8GB,DDR4,,,,,2.22 kg (4.9 lbs),,802.11ac,4.0,720p,,07.08.2020,$1349.99,https://laptopmedia.com/review/acer-nitro-7-an715-51-review-comes-to-shatter-the-budget-gaming-industry/,https://www.amazon.com/exec/obidos/ASIN/B07QXT3WC6?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,"10, 100, 1000 Mbit/s",Fingerprint reader,7,73/100
13,"Lenovo ThinkPad X1 Carbon (5th Gen)ProcessorIntel Core i7-7600UInternal memory8GB RAMVideo cardIntel HD Graphics 620Display14.0”, WQHD (2560 x 1440), IPSSolid-state drive2000GB SSD",https://laptopmedia.com/laptop-specs/lenovo-thinkpad-x1-carbon-5th-gen-28/,Lenovo ThinkPad X1 Carbon (5th Gen),Lenovo,ThinkPadX1Carbon(5thGen),Intel Core i7-7600U,3724,Intel HD Graphics 620,2000GB SSD,8GB,1866MHz,14.0”, WQHD (2560 x 1440),, IPS,"324 x 217 x 16 mm (12.76"" x 8.54"" x 0.63"")",,802.11ac,4.1,720p,2x Microphones,31.07.2020,,,,,,Fingerprint reader,3,85/100
14,"HP 15ProcessorIntel Core i5-7200UInternal memory8GB RAMVideo cardIntel HD Graphics 620Display15.6”, HD (1366 x 768), TNHard drive1000GB HDD",https://laptopmedia.com/laptop-specs/hp-15-1435/,HP 15,HP,15,Intel Core i5-7200U,3394,Intel HD Graphics 620,1000GB HDD,8GB,DDR4,15.6”, HD (1366 x 768),, TN,3.2 Gen 1 (5 Gbps),,802.11b/g/n,4.0,,,11.08.2020,,,,,,,9,63/100
15,"ASUS ZenBook 14 (UX425JA-EB51)ProcessorIntel Core i5-1035G1Internal memory8GB RAMVideo cardIntel UHD Graphics G1Display14.0”, Full HD (1920 x 1080), IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/asus-zenbook-14-ux425ja-eb51/,ASUS ZenBook 14 (UX425JA-EB51),ASUS,ZenBook14(UX425JA-EB51),Intel Core i5-1035G1,7469,Intel UHD Graphics G1,512GB SSD,8GB,3200MHz,14.0”, Full HD (1920 x 1080),, IPS,"319 x 208 x 13.9 mm (12.56"" x 8.19"" x 0.55"")",2.0b,802.11ax,5.0,720p,1x Microphone,27.08.2020,,,,,,,5,80/100
16,"Lenovo Thinkpad X1 Yoga 3ProcessorIntel Core i5-8350UInternal memory16GB RAMVideo cardIntel UHD Graphics 620Display14.0”, Full HD (1920 x 1080), IPSSolid-state drive256GB SSD",https://laptopmedia.com/laptop-specs/lenovo-thinkpad-x1-yoga-3-23/,Lenovo Thinkpad X1 Yoga 3,Lenovo,ThinkpadX1Yoga3,Intel Core i5-8350U,6220,Intel UHD Graphics 620,256GB SSD,16GB,,14.0”, Full HD (1920 x 1080),, IPS,1.40 kg (3.1 lbs),1.4,802.11ac,4.1,,2x Microphones,23.07.2020,$1499.99,https://laptopmedia.com/review/lenovo-thinkpad-x1-yoga-3rd-gen-review-a-robust-industrial-convertible/,https://www.amazon.com/exec/obidos/ASIN/B07FPZ2Y6V?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,,Fingerprint reader,3,85/100
17,"Dell Latitude 5480ProcessorIntel Core i7-7600UInternal memory8GB RAMVideo cardIntel HD Graphics 620Display14.0”, Full HD (1920 x 1080), TNSolid-state drive256GB SSD",https://laptopmedia.com/laptop-specs/dell-latitude-5480-6/,Dell Latitude 5480,Dell,Latitude5480,Intel Core i7-7600U,3724,Intel HD Graphics 620,256GB SSD,8GB,2400MHz,14.0”, Full HD (1920 x 1080),, TN,1.60 kg (3.5 lbs),,802.11ac,4.1,,,14.12.2017,,,,,,,4,80/100
18,"HP 15 (15-ay198nr)ProcessorIntel Core i7-7500UInternal memory8GB RAMVideo cardIntel HD Graphics 620Display15.6”, HD (1366 x 768), TNSolid-state drive256GB SSD",https://laptopmedia.com/laptop-specs/hp-15-15-ay198nr/,HP 15 (15-ay198nr),HP,15(15-ay198nr),Intel Core i7-7500U,3651,Intel HD Graphics 620,256GB SSD,8GB,,15.6”, HD (1366 x 768),, TN,3.2 Gen 1 (5 Gbps),,802.11ac,4.0,720p,,04.01.2018,,,,,"10, 100 Mbit/s",,9,63/100
19,"Lenovo ThinkPad T460sProcessorIntel Core i7-6600UInternal memory16GB RAMVideo cardIntel HD Graphics 520Display14.0”, Full HD (1920 x 1080), IPSSolid-state drive256GB SSD",https://laptopmedia.com/laptop-specs/lenovo-thinkpad-t460s-223/,Lenovo ThinkPad T460s,Lenovo,ThinkPadT460s,Intel Core i7-6600U,3457,Intel HD Graphics 520,256GB SSD,16GB,2133MHz,14.0”, Full HD (1920 x 1080),, IPS,"331 x 227 x 17-19 mm (13.03"" x 8.94"" x 0.67"")",,802.11ac,4.1,720p,2x Microphones,02.08.2018,,,,,"10, 100, 1000 Mbit/s",,3,85/100
20,"Dell G5 5587ProcessorIntel Core i7-8750HInternal memory32GB RAMVideo cardNVIDIA GeForce GTX 1050 Ti (4GB GDDR5)Display15.6”, Full HD (1920 x 1080), IPSHard drive1000GB HDDSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/dell-g5-5587-206/,Dell G5 5587,Dell,G55587,Intel Core i7-8750H,9956,NVIDIA GeForce GTX 1050 Ti (4GB GDDR5),1000GB SSD + 1000GB HDD,32GB,,15.6”, Full HD (1920 x 1080),, IPS,2.61 kg (5.8 lbs),2.0,802.11ac,,720p,2x Microphones,03.07.2020,,,,,"10, 100, 1000 Mbit/s",,4,80/100
21,"Dell G5 5590ProcessorIntel Core i7-9750HInternal memory16GB RAMVideo cardNVIDIA GeForce RTX 2060 (Laptop, 80W)Display15.6”, Full HD (1920 x 1080), 144 Hz, IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/dell-g5-5590-136/,Dell G5 5590,Dell,G55590,Intel Core i7-9750H,10948,"NVIDIA GeForce RTX 2060 (Laptop, 80W)",512GB SSD,16GB,"DDR4,2666MHz",15.6”, Full HD (1920 x 1080), 144 Hz, IPS,2.77 kg (6.1 lbs),2.0,802.11ac,4.2,,,16.12.2019,$1599.00,https://laptopmedia.com/review/dell-g5-15-5590-review-aims-high-with-its-rtx-capabilities/,https://www.amazon.com/exec/obidos/ASIN/B0828CJ7VN?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,"10, 100, 1000 Mbit/s",,4,80/100
22,"Lenovo ThinkPad T14 Gen 1 (Intel)ProcessorIntel Core i7-10610UInternal memory8GB RAMVideo cardIntel UHD GraphicsDisplay14.0”, HD (1366 x 768), TNSolid-state drive256GB SSD",https://laptopmedia.com/laptop-specs/lenovo-thinkpad-t14-gen-1-intel-13/,Lenovo ThinkPad T14 Gen 1 (Intel),Lenovo,ThinkPadT14Gen1(Intel),Intel Core i7-10610U,6826,Intel UHD Graphics,256GB SSD,8GB,,14.0”, HD (1366 x 768),, TN,3.2 Gen 1 (5 Gbps),1.4b,802.11ax,5.0,720p,2x Microphones,01.07.2020,,,,,"10, 100, 1000 Mbit/s",,3,85/100
23,"Lenovo ThinkPad T15 Gen 1ProcessorIntel Core i5-10310UInternal memory8GB RAMVideo cardIntel UHD GraphicsDisplay15.6”, Full HD (1920 x 1080), IPSSolid-state drive256GB SSD",https://laptopmedia.com/laptop-specs/lenovo-thinkpad-t15-gen-1-8/,Lenovo ThinkPad T15 Gen 1,Lenovo,ThinkPadT15Gen1,Intel Core i5-10310U,6461,Intel UHD Graphics,256GB SSD,8GB,2666MHz,15.6”, Full HD (1920 x 1080),, IPS,"365.8 x 248 x 19.1 mm (14.40"" x 9.76"" x 0.75"")",1.4b,802.11ax,5.0,720p,2x Microphones,01.07.2020,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,3,85/100
24,"Dell Inspiron 15 3567ProcessorIntel Core i5-7200UInternal memory8GB RAMVideo cardIntel HD Graphics 620Display15.6”, HD (1366 x 768), TNHard drive1000GB HDD",https://laptopmedia.com/laptop-specs/dell-inspiron-15-3567-3/,Dell Inspiron 15 3567,Dell,Inspiron153567,Intel Core i5-7200U,3394,Intel HD Graphics 620,1000GB HDD,8GB,,15.6”, HD (1366 x 768),, TN,2.0,,802.11ac,4.1,720p,,17.07.2017,$959.99,https://laptopmedia.com/review/dell-inspiron-15-3567-review-you-get-what-you-pay-for/,https://www.amazon.com/exec/obidos/ASIN/B06X9TH2RX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,,,4,80/100
25,"ASUS ROG Zephyrus S15 (GX502LXS-XS79)ProcessorIntel Core i7-10875HInternal memory48GB RAMVideo cardNVIDIA GeForce RTX 2080 SUPER Max-QDisplay15.6”, Full HD (1920 x 1080), 300 Hz, IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-s15-gx502lxs-xs79/,ASUS ROG Zephyrus S15 (GX502LXS-XS79),ASUS,ROGZephyrusS15(GX502LXS-XS79),Intel Core i7-10875H,15035,NVIDIA GeForce RTX 2080 SUPER Max-Q,1000GB SSD,16GB,2666MHz+,15.6”, Full HD (1920 x 1080), 300 Hz, IPS + G-Sync,3.2 Gen 1 (5 Gbps),2.0b,802.11ax,5.0,1080p,,14.10.2020,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,5,80/100
26,"Dell Inspiron 5400 (2-in-1)ProcessorIntel Core i5-1035G1Internal memory12GB RAMVideo cardIntel UHD Graphics G1Display14.0”, Full HD (1920 x 1080), IPSSolid-state drive256GB SSD",https://laptopmedia.com/laptop-specs/dell-inspiron-5400-2-in-1-24/,Dell Inspiron 5400 (2-in-1),Dell,Inspiron5400(2-in-1),Intel Core i5-1035G1,7469,Intel UHD Graphics G1,256GB SSD,12GB,,14.0”, Full HD (1920 x 1080),, IPS,3.2 Gen 1 (5 Gbps),1.4b,802.11ax,5.0,720p,2x Microphones,30.10.2020,,,,,,Fingerprint reader,4,80/100
27,"Acer Chromebook 311 (CB311-9H-C12A)ProcessorIntel Celeron N4000Internal memory4GB RAMVideo cardIntel UHD Graphics 600Display11.6”, HD (1366 x 768), IPSSolid-state drive32GB SSD",https://laptopmedia.com/laptop-specs/acer-chromebook-311-cb311-9h-c12a/,Acer Chromebook 311 (CB311-9H-C12A),Acer,Chromebook311(CB311-9H-C12A),Intel Celeron N4000,1419,Intel UHD Graphics 600,32GB SSD,4GB,,11.6”, HD (1366 x 768),, IPS,3.2 Gen 1 (5 Gbps),,802.11ac,5.0,,,05.11.2020,$188.00,https://laptopmedia.com/review/acer-chromebook-311-cb311-9h-review-a-reasonable-tablet-replacement/,https://www.amazon.com/exec/obidos/ASIN/B07XJ7PXT4?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,,,7,73/100
28,"Dell Latitude 7290ProcessorIntel Core i5-8350UInternal memory16GB RAMVideo cardIntel UHD Graphics 620Display12.5”, HD (1366 x 768), TNSolid-state drive256GB SSD",https://laptopmedia.com/laptop-specs/dell-latitude-7290-3/,Dell Latitude 7290,Dell,Latitude7290,Intel Core i5-8350U,6220,Intel UHD Graphics 620,256GB SSD,16GB,,12.5”, HD (1366 x 768),, TN,3.2 Gen 1 (5 Gbps),1.4,802.11ac,4.2,720p,,02.01.2020,,,,,"10, 100, 1000 Mbit/s",,4,80/100
29,"Acer Aspire One CloudbookProcessorIntel Celeron N3050Internal memory2GB RAMVideo cardIntel HD Graphics 400 (Braswell)Display14.0”, HD (1366 x 768), TNSolid-state drive64GB SSD",https://laptopmedia.com/laptop-specs/acer-aspire-one-cloudbook-2/,Acer Aspire One Cloudbook,Acer,AspireOneCloudbook,Intel Celeron N3050,590,Intel HD Graphics 400 (Braswell),64GB SSD,2GB,,14.0”, HD (1366 x 768),, TN,1.60 kg (3.5 lbs),2.0,802.11ac,4.0,,,19.06.2017,,,,,,Fingerprint reader,7,73/100
30,"Dell Inspiron 7375ProcessorAMD Ryzen 7 2700UInternal memory12GB RAMVideo cardAMD Radeon RX Vega 10Display13.3”, Full HD (1920 x 1080), IPSSolid-state drive256GB SSD",https://laptopmedia.com/laptop-specs/dell-inspiron-7375-4/,Dell Inspiron 7375,Dell,Inspiron7375,AMD Ryzen 7 2700U,6934,AMD Radeon RX Vega 10,256GB SSD,12GB,2400MHz,13.3”, Full HD (1920 x 1080),, IPS,1.74 kg (3.8 lbs),1.4b,802.11ac,4.0,720p,2x Microphones,19.02.2019,,,,,,Fingerprint reader,4,80/100
31,"Dell Precision 5540ProcessorIntel Core i7-9850HInternal memory8GB RAMVideo cardNVIDIA Quadro T2000 (4GB GDDR5)Display15.6”, Full HD (1920 x 1080), IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/dell-precision-5540-3/,Dell Precision 5540,Dell,Precision5540,Intel Core i7-9850H,11224,NVIDIA Quadro T2000 (4GB GDDR5),512GB SSD,8GB,,15.6”, Full HD (1920 x 1080),, IPS,"353 x 235 x 11 mm (13.90"" x 9.25"" x 0.43"")",2.0b,802.11ac,5.0,720p,2x Microphones,22.11.2019,,,,,,,4,80/100
32,"ASUS VivoBook S15 (S533EA-DH74)ProcessorIntel Core i7-1165G7Internal memory16GB RAMVideo cardIntel Iris Xe Graphics G7 (96EU)Display15.6”, Full HD (1920 x 1080), IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/asus-vivobook-s15-s533ea-dh74/,ASUS VivoBook S15 (S533EA-DH74),ASUS,VivoBookS15(S533EA-DH74),Intel Core i7-1165G7,10358,Intel Iris Xe Graphics G7 (96EU),512GB SSD,16GB,2666MHz,15.6”, Full HD (1920 x 1080),, IPS,"359.8 x 233.8 x 16.1 mm (14.17"" x 9.20"" x 0.63"")",,802.11ax,5.0,720p,1x Microphone,14.12.2020,,,,,,Fingerprint reader,5,80/100
33,"ASUS TUF Gaming A15 FA506ProcessorAMD Ryzen 5 4600HInternal memory8GB RAMVideo cardNVIDIA GeForce GTX 1650 Ti (Laptop)Display15.6”, Full HD (1920 x 1080), 144 Hz, IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/asus-tuf-gaming-a15-fa506-559/,ASUS TUF Gaming A15 FA506,ASUS,TUFGamingA15FA506,AMD Ryzen 5 4600H,14541,NVIDIA GeForce GTX 1650 Ti (Laptop),512GB SSD,8GB,"DDR4,3200MHz",15.6”, Full HD (1920 x 1080), 144 Hz, IPS,2.0,2.0b,802.11ac,5.0,720p,,09.02.2021,,,,,,Fingerprint reader,5,80/100
34,"Lenovo ThinkPad X13 Gen 1ProcessorIntel Core i5-10210UInternal memory8GB RAMVideo cardIntel UHD GraphicsDisplay13.3”, HD (1366 x 768), TNSolid-state drive256GB SSD",https://laptopmedia.com/laptop-specs/lenovo-thinkpad-x13-gen-1-18/,Lenovo ThinkPad X13 Gen 1,Lenovo,ThinkPadX13Gen1,Intel Core i5-10210U,6238,Intel UHD Graphics,256GB SSD,8GB,2666MHz,13.3”, HD (1366 x 768),, TN,"312 x 217.2 x 16.9 mm (12.28"" x 8.55"" x 0.67"")",1.4b,802.11ax,5,720p,2x Microphones,02.12.2021,$1099.00,https://laptopmedia.com/review/lenovo-thinkpad-x13-review-premium-materials-but-a-very-familiar-execution/,https://www.amazon.com/exec/obidos/ASIN/B091BKHDWJ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,,Fingerprint reader,3,85/100
35,"Lenovo ThinkPad P15s Gen 1ProcessorIntel Core i7-10510UInternal memory16GB RAMVideo cardNVIDIA Quadro P520 (2GB GDDR5)Display15.6”, Full HD (1920 x 1080), IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/lenovo-thinkpad-p15s-gen-1-280/,Lenovo ThinkPad P15s Gen 1,Lenovo,ThinkPadP15sGen1,Intel Core i7-10510U,6660,NVIDIA Quadro P520 (2GB GDDR5),512GB SSD,16GB,DDR4,15.6”, Full HD (1920 x 1080),, IPS,"3.2 Gen 2 (10 Gbps), Power Delivery (PD), DisplayPort",1.4b,802.11ax,5.1,720p,2x Microphones,19.01.2022,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,3,85/100
36,"ASUS TUF Gaming FX505ProcessorAMD Ryzen 7 3750HInternal memory8GB RAMVideo cardNVIDIA GeForce GTX 1650 (Laptop, 50W)Display15.6”, Full HD (1920 x 1080), 144 Hz, IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/asus-tuf-gaming-fx505-1528/,ASUS TUF Gaming FX505,ASUS,TUFGamingFX505,AMD Ryzen 7 3750H,8189,"NVIDIA GeForce GTX 1650 (Laptop, 50W)",512GB SSD,8GB,"DDR4,2666MHz",15.6”, Full HD (1920 x 1080), 144 Hz, IPS,2.20 kg (4.9 lbs),2.0,802.11ac,5.0,720p,,26.08.2021,$901.11,https://laptopmedia.com/review/asus-tuf-fx505-review-fresh-but-still-not-fully-polished/,https://www.amazon.com/exec/obidos/ASIN/B086QZSLCP?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,,Fingerprint reader,5,80/100
37,"MSI GE76 RaiderProcessorIntel Core i7-11800HInternal memory32GB RAMVideo cardNVIDIA GeForce RTX 3060 (Laptop, 130W)Display17.3”, Full HD (1920 x 1080), 144 Hz, IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/msi-ge76-raider-180/,MSI GE76 Raider,MSI,GE76Raider,Intel Core i7-11800H,20772,"NVIDIA GeForce RTX 3060 (Laptop, 130W)",1000GB SSD,32GB,DDR4,17.3”, Full HD (1920 x 1080), 144 Hz, IPS,,2.1,802.11ax,5.2,1080p,,21.09.2021,$3999.99,https://laptopmedia.com/review/msi-ge76-raider-2021/,https://www.amazon.com/exec/obidos/ASIN/B09MTDGRN5?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,"397 x 268.4 x 25.9 mm (15.63"" x 10.57"" x 1.02"")","10, 100, 1000, 2500 Mbit/s",Fingerprint reader,10,44/100
38,"HP 14ProcessorAMD 3020eInternal memory4GB RAMVideo cardAMD Radeon RX Vega 3Display14.0”, HD (1366 x 768), TNSolid-state drive64GB SSD",https://laptopmedia.com/laptop-specs/hp-14-2426/,HP 14,HP,14,AMD 3020e,2457,AMD Radeon RX Vega 3,64GB SSD,4GB,2400MHz,14.0”, HD (1366 x 768),, TN,3.2 Gen 1 (5 Gbps),1.4b,802.11ac,4.2,720p,1x Microphone,29.09.2021,,,,,,,9,63/100
39,"MSI GP65 LeopardProcessorIntel Core i7-10750HInternal memory32GB RAMVideo cardNVIDIA GeForce GTX 1660 Ti (Laptop)Display15.6”, Full HD (1920 x 1080), 144 Hz, IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/msi-gp65-leopard-34/,MSI GP65 Leopard,MSI,GP65Leopard,Intel Core i7-10750H,12027,NVIDIA GeForce GTX 1660 Ti (Laptop),1000GB SSD,32GB,DDR4,15.6”, Full HD (1920 x 1080), 144 Hz, IPS,,1.4b,802.11ax,5.1,720p,,29.03.2021,,,,"357 x 248 x 27.5 mm (14.06"" x 9.76"" x 1.08"")","10, 100, 1000 Mbit/s",Fingerprint reader,10,44/100
